 Station; Location; Type; Method; Length; MEANr; MEDr; Year; Month
       1;     6905;SR   ;CO     ;   6905;  -0.8; -0.7; 1992;     2
       1;     9324;SR   ;EV     ;   2419;   0.2;  0.2; 1999;    12
       2;     3291;SC   ;CO     ;   3291;   1.3;  1.3; 1979;     1
       2;     9741;SC   ;CO     ;   6450;  -1.5; -1.5; 1999;     3
       3;     8758;SC   ;CO     ;   8758;   1.0;  0.9; 1995;    11
       3;    11799;SC   ;CO     ;   3041;  -0.7; -0.7; 2004;     7
       4;     3535;SC   ;EV     ;   3535;   0.1;  0.1; 1981;     8
       4;     4184;SC   ;CO     ;    649;   0.3;  0.3; 1983;     6
       4;     8284;UR   ;EV     ;   4100;  -1.3; -1.3; 1995;     5
       5;     7580;SR   ;EV     ;   7580;   0.3;  0.2; 1991;     3
       5;     9494;UR   ;EV     ;   1914;   0.3;  0.4; 1996;     6
       5;    13535;SC   ;EV     ;   4041;  -0.2; -0.2; 2007;     7
       5;    13842;SR   ;CO     ;    307;   1.0;  1.0; 2008;     6
       6;      996;SR   ;EV     ;    996;   0.2;  0.1; 1972;     9
       6;     2144;SC   ;EV     ;   1148;  -0.1;  0.0; 1975;    12
       7;     1400;SR   ;CO     ;   1400;  -1.0; -1.0; 1973;    10
       7;     2767;SC   ;EV     ;   1367;  -0.1; -0.1; 1977;     7
       7;     3948;UR   ;EV     ;   1181;   0.5;  0.5; 1980;    10
       7;     5433;SR   ;EV     ;   1485;   0.1;  0.1; 1984;    11
       7;     6825;SR   ;EV     ;   1392;  -0.1; -0.1; 1988;     9
       7;     7298;SR   ;CO     ;    473;  -0.5; -0.5; 1989;    12
       8;     5102;SC   ;EV     ;   5102;   0.0;  0.1; 1984;     3
       8;     6441;SC   ;EV     ;   1339;   0.1;  0.1; 1988;     8
       8;     9277;UR   ;EV     ;   2836;  -0.3; -0.3; 1997;     6
       8;    10538;SC   ;EV     ;   1261;   0.1;  0.1; 2001;     3
       8;    14449;UR   ;EV     ;   3911;      ;     ; 2011;    12
       9;     9254;SC   ;EV     ;   9254;   0.1;  0.0; 1996;     6
       9;     9421;UR   ;EV     ;    167;   0.2;  0.2; 1996;    12
      10;      272;SR   ;CO     ;    272;   0.7;  0.7; 1970;     9
      10;     2256;SC   ;EV     ;   1984;  -0.2; -0.1; 1976;     3
      10;     2328;SR   ;EV     ;     72;  -0.3; -0.3; 1976;     6
      10;     4236;SR   ;CO     ;   1908;   1.0;  1.0; 1981;    10
      10;     9597;SR   ;EV     ;   5361;   0.3;  0.3; 1997;     2
      11;      672;SR   ;CO     ;    672;  -1.0; -1.0; 1971;    11
      11;     3196;SC   ;EV     ;   2524;   0.2;  0.2; 1978;    10
      11;     4934;SR   ;EV     ;   1738;   0.3;  0.3; 1983;     9
      11;     7312;SC   ;EV     ;   2378;  -0.3; -0.2; 1990;    10
      11;     8214;SR   ;EV     ;    902;   0.0; -0.1; 1993;     4
      11;    10011;UR   ;EV     ;   1797;   0.2;  0.3; 1998;     4
      11;    14778;UR   ;EV     ;   4767;      ;     ; 2011;    12
      12;      360;SC   ;EV     ;    360;  -0.2; -0.1; 1970;    12
      12;     1296;SR   ;EV     ;    936;  -1.8; -1.8; 1973;     7
      12;     1464;SC   ;EV     ;    168;   0.1;  0.1; 1974;     1
      12;     2963;SR   ;EV     ;   1499;   1.7;  1.7; 1978;     2
      12;     4192;SR   ;EV     ;   1229;  -1.7; -1.7; 1981;     6
      12;     7461;SR   ;EV     ;   3269;   1.6;  1.6; 1990;     6
      12;     7821;SC   ;EV     ;    360;   0.1;  0.1; 1991;     6
      12;     7922;SR   ;EV     ;    101;  -1.8; -1.9; 1991;    10
      12;     9874;UR   ;CO     ;   1952;   0.0;  0.1; 1997;     2
