 Station; Location; Type; Method; Length; MEANr; MEDr; Year; Month
       1;     1446;SR   ;CO     ;   1446;   1.5;  1.5; 1973;    12
       1;     4785;SC   ;EV     ;   3339;   0.1;  0.1; 1983;     2
       2;     5572;SC   ;EV     ;   5572;   0.1;  0.0; 1985;    12
       2;     7527;UR   ;EV     ;   1955;  -0.2; -0.1; 1991;     4
       3;      556;SC   ;CO     ;    556;  -1.5; -1.6; 1971;     7
       3;      823;SC   ;CO     ;    267;  -0.7; -0.7; 1972;     4
       3;      981;SC   ;EV     ;    158;   0.1;  0.1; 1972;     9
       3;     1027;SR   ;CO     ;     46;  -1.0; -1.0; 1972;    11
       3;     9168;UR   ;CO     ;   8141;   0.4;  0.4; 1997;     9
       3;    13876;UR   ;CO     ;   4708;      ;     ; 2011;     6
       4;     1903;SR   ;EV     ;   1903;  -0.1; -0.2; 1975;     5
       4;     5237;UR   ;EV     ;   3334;  -0.3; -0.2; 1984;    10
       4;     7361;SC   ;EV     ;   2124;   0.1;  0.1; 1990;    12
       5;      962;SR   ;CO     ;    962;   1.2;  1.2; 1972;     9
       5;     9436;UR   ;EV     ;   8474;   0.5;  0.5; 1996;     8
       6;      738;SC   ;EV     ;    738;  -0.2; -0.1; 1972;     1
       6;      971;SR   ;EV     ;    233;   0.2;  0.2; 1972;     8
       6;    13401;SC   ;EV     ;  12430;  -0.1; -0.1; 2006;     9
       7;     1107;SC   ;CO     ;   1107;  -0.5; -0.5; 1973;     1
       7;     1229;SR   ;EV     ;    122;   0.0;  0.1; 1973;     5
       7;     1753;UR   ;EV     ;    524;   0.3;  0.2; 1974;    11
       7;     2318;SR   ;EV     ;    565;  -0.1;  0.0; 1976;     7
       7;     6842;SR   ;CO     ;   4524;   1.0;  1.0; 1989;     5
       8;      126;SC   ;CO     ;    126;  -1.5; -1.5; 1970;     5
       9;     8658;SC   ;CO     ;   8658;   0.2;  0.2; 1995;     1
      10;     8985;SC   ;EV     ;   8985;  -0.1; -0.1; 1995;     1
      10;     9420;SC   ;EV     ;    435;   0.1;  0.1; 1996;     4
      11;      783;SR   ;CO     ;    783;   0.5;  0.5; 1972;     2
      11;     6841;SC   ;EV     ;   6058;   0.1;  0.1; 1993;     3
      11;     9255;SC   ;EV     ;   2414;  -0.1; -0.1; 1999;    11
      12;     4975;SC   ;EV     ;   4975;   0.1;  0.1; 1983;     8
      12;     5304;SC   ;CO     ;    329;   1.3;  1.3; 1984;     7
      14;     5847;UR   ;CO     ;   5847;   0.1;  0.1; 1989;     8
      14;     8858;SC   ;EV     ;   3011;  -0.2; -0.1; 1999;     5
      15;     2090;SR   ;EV     ;   2090;   0.2;  0.2; 1975;     9
      15;     4314;UR   ;CO     ;   2224;   0.0;  0.1; 1981;    12
      15;     4482;SC   ;EV     ;    168;  -0.1; -0.1; 1982;     6
      16;     1389;SC   ;EV     ;   1389;  -0.2; -0.2; 1973;    10
      16;     4606;SR   ;EV     ;   3217;   0.1;  0.1; 1982;    10
      16;     7568;SC   ;EV     ;   2962;  -0.1;  0.0; 1991;     2
      16;    10212;SR   ;EV     ;   2644;   0.0; -0.1; 1999;     5
      16;    10312;UR   ;CO     ;    100;   0.5;  0.5; 1999;     9
      16;    13910;UR   ;CO     ;   3598;      ;     ; 2011;    12
      17;     9722;UR   ;EV     ;   9722;   0.1;  0.2; 1997;    10
      17;    10783;SR   ;EV     ;   1061;   0.0; -0.1; 2001;     2
      17;    11710;SR   ;EV     ;    927;   0.0;  0.1; 2003;    10
      17;    14211;UR   ;EV     ;   2501;      ;     ; 2011;    12
      18;     6021;SC   ;EV     ;   6021;  -0.2; -0.1; 1986;     6
      18;     7871;SC   ;CO     ;   1850;   1.0;  1.0; 1991;     7
      19;     1353;UR   ;EV     ;   1353;  -0.1; -0.1; 1974;     1
      20;    10986;SR   ;CO     ;  10986;  -1.5; -1.5; 2004;     4
      22;     4357;SC   ;CO     ;   4357;   0.2;  0.3; 1982;     6
      22;     5197;SR   ;EV     ;    840;  -0.1; -0.2; 1984;    10
      22;     5272;SC   ;EV     ;     75;   0.1;  0.2; 1985;     1
      22;    10737;UR   ;CO     ;   5465;   0.1;  0.0; 2001;     3
      22;    14442;UR   ;CO     ;   3705;      ;     ; 2011;    12
      23;      491;SC   ;EV     ;    491;  -0.1; -0.1; 1971;     5
      23;     3402;SC   ;EV     ;   2911;   0.1;  0.1; 1979;     4
      23;     9921;UR   ;EV     ;   6519;  -0.1; -0.1; 1997;     3
      23;    10719;SR   ;EV     ;    798;   0.1;  0.1; 1999;     5
      23;    11863;SC   ;EV     ;   1144;  -0.1; -0.1; 2002;     6
      24;     4576;SR   ;EV     ;   4576;   0.0; -0.1; 1982;     7
      24;     8372;SC   ;EV     ;   3796;   0.1;  0.1; 1992;    12
      24;    10216;SC   ;CO     ;   1844;   1.5;  1.5; 1997;    12
      26;     5151;UR   ;EV     ;   5151;  -0.2; -0.2; 1984;    12
      27;      869;SR   ;EV     ;    869;   0.2;  0.1; 1972;     5
      27;     2603;SC   ;EV     ;   1734;  -0.2; -0.1; 1977;     2
      27;     3531;SR   ;CO     ;    928;  -1.3; -1.3; 1979;     9
      27;     5847;UR   ;EV     ;   2316;   0.2;  0.2; 1986;     2
      27;    10319;UR   ;EV     ;   4472;   0.0;  0.1; 1998;     8
      27;    12104;SR   ;CO     ;   1785;   1.2;  1.2; 2003;    10
      27;    14309;SR   ;CO     ;   2205;  -1.0; -1.0; 2009;    12
      28;     9406;UR   ;EV     ;   9406;  -0.2; -0.2; 1996;     4
      28;    10935;SR   ;CO     ;   1529;  -0.7; -0.7; 2001;     6
      28;    14339;UR   ;EV     ;   3404;      ;     ; 2011;    12
      29;     5672;SR   ;CO     ;   5672;  -1.5; -1.5; 1986;    10
      29;     7089;SR   ;CO     ;   1417;  -0.8; -0.8; 1990;    10
      29;    13713;SC   ;CO     ;   6624;   0.3;  0.3; 2009;     7
      30;      295;SR   ;EV     ;    295;   0.0; -0.1; 1970;    10
      30;     3722;UR   ;CO     ;   3427;   0.1;  0.1; 1980;     3
      30;     7987;UR   ;CO     ;   4265;   0.1;  0.1; 1991;    11
      31;      454;SR   ;EV     ;    454;   0.2;  0.2; 1971;     3
      31;     3401;UR   ;CO     ;   2947;   0.1;  0.1; 1979;     4
      32;      176;UR   ;EV     ;    176;   0.3;  0.3; 1970;     6
      32;      798;SR   ;CO     ;    622;  -1.0; -1.0; 1972;     4
      32;     1986;SR   ;EV     ;   1188;   0.1;  0.1; 1975;    12
