 Station; Location; Type; Method; Length; MEANr; MEDr; Year; Month
       1;      723;SR   ;EV     ;    723;   0.4;  0.4; 1971;    12
       2;     2834;UR   ;EV     ;   2834;   0.6;  0.6; 1978;     3
       3;     6594;SC   ;EV     ;   6594;   0.0; -0.1; 1988;    10
       3;     7849;UR   ;EV     ;   1255;   0.2;  0.3; 1992;     5
       3;     8854;SR   ;EV     ;   1005;  -1.7; -1.8; 1995;     4
       3;     9723;SC   ;CO     ;    869;   0.8;  0.8; 1997;     9
       3;    13867;SR   ;EV     ;   4144;   1.7;  1.7; 2009;     9
       4;     6047;SR   ;CO     ;   6047;  -0.7; -0.7; 1986;     9
       4;     8341;SR   ;CO     ;   2294;  -1.5; -1.5; 1993;     5
       6;     6816;SC   ;CO     ;   6816;   0.7;  0.7; 1989;     1
       6;     7095;SR   ;EV     ;    279;   1.0;  1.0; 1989;    11
       6;     7182;UR   ;EV     ;     87;   0.1;  0.2; 1990;     2
       6;     7333;SR   ;CO     ;    151;  -1.5; -1.6; 1991;     7
       6;     8165;SC   ;EV     ;    832;   0.0;  0.1; 1994;     4
       6;    11481;SC   ;CO     ;   3316;  -1.3; -1.3; 2004;    12
       7;      443;SR   ;EV     ;    443;  -2.9; -2.9; 1971;     3
       7;     5439;SC   ;CO     ;   4996;   1.2;  1.3; 1985;     8
       7;     7445;UR   ;EV     ;   2006;  -0.1; -0.1; 1992;     8
       7;    12031;SC   ;CO     ;   4586;   0.5;  0.5; 2006;    12
       8;     6644;SC   ;EV     ;   6644;   0.0; -0.1; 1989;     4
       8;    10335;SR   ;EV     ;   3691;  -0.4; -0.3; 1999;    10
       8;    11650;UR   ;CO     ;   1315;   0.1;  0.0; 2003;     8
       8;    14255;UR   ;CO     ;   2605;      ;     ; 2011;    12
       9;     2041;SC   ;EV     ;   2041;  -0.1; -0.2; 1975;     8
       9;     4578;SR   ;EV     ;   2537;  -0.1;  0.0; 1982;     7
       9;     4645;UR   ;EV     ;     67;   0.3;  0.3; 1982;    10
       9;     7242;SC   ;EV     ;   2597;  -0.1; -0.2; 1989;    11
       9;     7567;SR   ;EV     ;    325;   0.2;  0.2; 1990;    10
       9;    10410;SR   ;EV     ;   2843;  -0.2; -0.2; 1998;     7
       9;    11887;SR   ;EV     ;   1477;   0.2;  0.2; 2002;     8
      11;     2006;SR   ;EV     ;   2006;   0.2;  0.2; 1976;    10
      11;     5064;SR   ;EV     ;   3058;  -0.2; -0.1; 1985;     8
      11;     7756;UR   ;CO     ;   2692;   0.6;  0.5; 1993;     5
      11;    12453;UR   ;CO     ;   4697;   0.7;  0.7; 2009;    12
      13;     2217;SR   ;EV     ;   2217;  -0.1; -0.1; 1976;     2
      13;     2318;SR   ;EV     ;    101;   0.1;  0.1; 1976;     5
      13;     2691;SC   ;CO     ;    373;   1.3;  1.3; 1977;     5
      13;     2979;SR   ;EV     ;    288;  -0.1; -0.1; 1978;     3
      13;     3613;SR   ;CO     ;    634;  -1.5; -1.5; 1979;    12
      13;     4640;UR   ;CO     ;   1027;   0.5;  0.5; 1982;    11
      13;    10983;UR   ;CO     ;   6343;   0.5;  0.5; 2001;     9
      14;      839;UR   ;CO     ;    839;   0.0;  0.1; 1972;     7
      14;     2915;SR   ;EV     ;   2076;   0.7;  0.7; 1979;     3
      14;     6658;SR   ;EV     ;   3743;  -0.6; -0.6; 1989;    11
      14;     7539;SR   ;EV     ;    881;   0.6;  0.5; 1992;     5
      14;    11051;SC   ;EV     ;   3512;   0.0;  0.1; 2002;     4
      14;    13417;SR   ;CO     ;   2366;   0.5;  0.5; 2008;    10
      15;     4739;SR   ;EV     ;   4739;   1.5;  1.5; 1983;     5
      15;    11385;UR   ;CO     ;   6646;   0.1;  0.1; 2002;     1
      15;    13954;SR   ;EV     ;   2569;  -1.4; -1.4; 2009;     8
      16;     7966;SC   ;CO     ;   7966;   1.5;  1.5; 1992;     1
      16;     8274;UR   ;EV     ;    308;  -0.8; -0.8; 1992;    11
      16;    11107;SR   ;CO     ;   2833;  -0.5; -0.5; 2001;     2
      16;    12287;SR   ;EV     ;   1180;   0.5;  0.5; 2004;     9
      18;     1218;SC   ;CO     ;   1218;  -0.7; -0.8; 1973;     5
      18;     9665;SR   ;CO     ;   8447;  -1.2; -1.2; 1999;     2
      19;     3183;UR   ;EV     ;   3183;   0.1;  0.1; 1979;     5
      19;     3876;SR   ;EV     ;    693;   0.1;  0.1; 1981;     4
      20;     3549;UR   ;CO     ;   3549;   0.0; -0.1; 1979;    12
      20;     8838;SR   ;EV     ;   5289;   0.1;  0.1; 1994;    11
      21;     2564;SC   ;EV     ;   2564;   0.0; -0.1; 1977;     5
      21;     3018;SR   ;EV     ;    454;  -3.4; -3.4; 1978;     8
      21;    14018;SC   ;EV     ;  11000;   0.1;  0.1; 2009;     6
      22;     1695;SC   ;CO     ;   1695;  -0.2; -0.3; 1974;     8
      22;     2288;SC   ;EV     ;    593;  -0.2; -0.1; 1976;     4
      22;     5980;UR   ;EV     ;   3692;   0.5;  0.4; 1986;     5
      22;     6237;SC   ;CO     ;    257;  -0.5; -0.4; 1987;     1
      22;     7666;SC   ;EV     ;   1429;   0.0; -0.1; 1990;    12
      22;     7910;SR   ;EV     ;    244;  -0.1; -0.1; 1991;     8
      22;    12013;SR   ;EV     ;   4103;   0.1;  0.1; 2002;    11
      22;    14153;SR   ;EV     ;   2140;  -0.1; -0.1; 2008;    11
      23;     2163;UR   ;EV     ;   2163;  -0.3; -0.3; 1976;     4
      23;     3882;SC   ;EV     ;   1719;   0.0;  0.1; 1982;     1
      24;     6419;SC   ;EV     ;   6419;   0.0; -0.1; 1988;     2
      25;     3713;UR   ;CO     ;   3713;   0.1;  0.1; 1980;    12
      26;     2931;UR   ;EV     ;   2931;   0.6;  0.6; 1978;     1
      27;     1244;SC   ;CO     ;   1244;   0.8;  0.8; 1973;     7
      27;     1715;SR   ;EV     ;    471;  -0.9; -1.0; 1974;    10
      27;     2570;UR   ;CO     ;    855;   0.0;  0.1; 1977;     4
      27;     4703;SR   ;CO     ;   2133;  -1.4; -1.4; 1983;     5
      27;     8328;SR   ;EV     ;   3625;   0.9;  0.9; 1993;    10
      27;    10077;SR   ;EV     ;   1749;  -0.9; -0.9; 1998;     9
      30;     2700;SR   ;EV     ;   2700;   0.1;  0.1; 1977;     6
      31;      838;UR   ;EV     ;    838;  -0.2; -0.2; 1972;     4
      31;     3808;SR   ;EV     ;   2970;  -0.3; -0.3; 1980;     9
      32;     1122;SC   ;CO     ;   1122;  -0.2; -0.2; 1973;     2
      32;     9591;SC   ;CO     ;   8469;   0.2;  0.3; 1996;     9
      33;     6155;SR   ;CO     ;   6155;  -0.9; -0.9; 1988;    11
      33;    10691;UR   ;CO     ;   4536;   0.1;  0.1; 2003;     3
      34;     6068;SR   ;EV     ;   6068;   1.4;  1.5; 1987;    12
      34;    11060;SC   ;CO     ;   4992;  -1.3; -1.3; 2001;    12
      35;      688;SC   ;CO     ;    688;   0.5;  0.5; 1972;     1
      35;     1517;SC   ;EV     ;    829;   0.0; -0.1; 1974;    10
      35;     4212;SC   ;EV     ;   2695;   0.0;  0.1; 1984;     5
      36;     5043;UR   ;EV     ;   5043;  -1.0; -1.0; 1984;     1
      36;    10038;UR   ;EV     ;   4995;   0.0; -0.1; 1998;     9
      36;    12158;SC   ;EV     ;   2120;   0.0;  0.1; 2004;     7
      37;     5444;UR   ;EV     ;   5444;  -0.7; -0.7; 1985;     2
      37;     6247;SR   ;EV     ;    803;   0.2;  0.2; 1987;     5
      38;      763;SR   ;CO     ;    763;  -0.7; -0.7; 1972;     2
      38;     1589;UR   ;EV     ;    826;  -0.2; -0.2; 1974;     5
      38;     2056;SR   ;CO     ;    467;  -0.5; -0.5; 1975;     9
      38;    10962;SR   ;EV     ;   8906;  -0.1; -0.1; 2001;     1
      38;    12298;SR   ;EV     ;   1336;   0.1;  0.1; 2004;    10
      39;     3222;UR   ;EV     ;   3222;   0.2;  0.2; 1979;     1
      39;     5457;SC   ;EV     ;   2235;  -0.1; -0.2; 1985;     5
      41;     2773;SR   ;CO     ;   2773;  -0.8; -0.7; 1978;     1
      41;     6652;SC   ;EV     ;   3879;  -0.1; -0.2; 1988;    12
      41;     7805;UR   ;CO     ;   1153;   0.1;  0.1; 1992;     4
      41;    13876;UR   ;CO     ;   6071;   0.1;  0.1; 2009;     4
      42;     1643;SC   ;CO     ;   1643;  -0.3; -0.3; 1974;     7
      42;     5567;SC   ;EV     ;   3924;   0.0;  0.1; 1985;     5
      42;     6221;SR   ;CO     ;    654;   1.2;  1.2; 1987;     3
      42;     7099;SR   ;EV     ;    878;  -1.2; -1.2; 1989;    10
      42;    10484;SR   ;EV     ;   3385;   1.2;  1.2; 1999;     9
      43;     3156;UR   ;CO     ;   3156;   0.6;  0.6; 1978;    12
      43;    10814;UR   ;CO     ;   7658;   0.6;  0.6; 2000;     3
      44;     1217;UR   ;EV     ;   1217;  -0.1; -0.1; 1973;     5
      44;    10868;SR   ;EV     ;   9651;   0.1;  0.1; 2000;     2
      44;    13032;SR   ;EV     ;   2164;  -0.1; -0.1; 2006;     1
      46;     5585;SR   ;EV     ;   5585;   0.5;  0.6; 1985;     5
      46;     9837;SC   ;EV     ;   4252;  -0.2; -0.2; 1997;     3
      46;    12563;SC   ;EV     ;   2726;  -0.1; -0.2; 2005;     1
      47;     7166;SC   ;EV     ;   7166;   0.0; -0.1; 1990;     5
      47;     8893;SC   ;EV     ;   1727;   0.0;  0.1; 1996;     5
      48;     1922;SR   ;EV     ;   1922;   0.1;  0.1; 1975;     9
      48;     9235;SC   ;CO     ;   7313;   0.8;  0.8; 1998;     8
      48;    11939;UR   ;CO     ;   2704;   0.1;  0.1; 2009;    11
      49;     8176;SC   ;EV     ;   8176;   0.0;  0.1; 1997;     9
      49;     9895;SR   ;EV     ;   1719;   0.5;  0.5; 2003;    10
      49;    10040;SC   ;CO     ;    145;   0.7;  0.7; 2004;     5
      50;     5848;SC   ;EV     ;   5848;   0.0;  0.1; 1986;    10
      50;     6804;UR   ;EV     ;    956;   0.4;  0.4; 1989;     5
      51;     7275;UR   ;CO     ;   7275;   0.1;  0.1; 1990;     4
      51;     7376;SC   ;CO     ;    101;   0.2;  0.2; 1990;     7
      52;     7682;UR   ;EV     ;   7682;  -0.2; -0.3; 1992;     2
      52;     9353;SC   ;CO     ;   1671;   0.8;  0.8; 1996;    10
      53;     6900;SR   ;EV     ;   6900;   0.9;  0.9; 1990;     4
      54;     1553;SR   ;CO     ;   1553;   1.0;  1.0; 1974;    10
      54;     4540;SR   ;CO     ;   2987;  -1.5; -1.5; 1986;     4
      54;     9235;SR   ;CO     ;   4695;  -1.5; -1.5; 2000;    11
      55;     5252;SR   ;EV     ;   5252;   0.1;  0.2; 1984;    12
      55;     6111;SC   ;EV     ;    859;  -0.1; -0.2; 1987;     9
      55;     7183;SC   ;CO     ;   1072;  -1.5; -1.5; 1991;     1
      57;     7593;SR   ;CO     ;   7593;  -0.3; -0.3; 1991;     5
      57;     7750;UR   ;EV     ;    157;   0.1;  0.2; 1991;    10
      57;    11050;SR   ;EV     ;   3300;   0.1;  0.1; 2000;    11
      58;     3480;UR   ;EV     ;   3480;   0.0;  0.1; 1979;     8
      58;     5170;SR   ;EV     ;   1690;   0.3;  0.3; 1984;     6
      59;      916;SR   ;EV     ;    916;   0.4;  0.5; 1972;     7
      59;     4641;SR   ;EV     ;   3725;  -0.4; -0.5; 1982;    12
      59;     5647;SR   ;EV     ;   1006;   0.4;  0.5; 1985;    10
      59;    12785;SR   ;CO     ;   7138;   0.2;  0.2; 2005;    12
      60;        2;SR   ;CO     ;      2;   1.0;  1.0; 1970;     1
      60;      771;SC   ;EV     ;    769;   0.1;  0.0; 1972;     2
      60;     4318;UR   ;CO     ;   3547;   0.1;  0.1; 1982;     2
      61;      222;SC   ;CO     ;    222;   0.5;  0.5; 1970;     8
      62;     7896;SC   ;EV     ;   7896;  -0.1; -0.2; 1991;     8
      62;    12473;SC   ;EV     ;   4577;   0.0;  0.1; 2004;     3
      63;     7567;SR   ;EV     ;   7567;   0.1;  0.1; 1990;    11
