 Station; Location; Type; Method; Length; MEANr; MEDr; Year; Month
       1;     3921;SR   ;EV     ;   3921;   0.1;  0.1; 1982;     1
       1;     9373;SR   ;EV     ;   5452;  -0.1; -0.1; 1998;     5
       2;     2328;SC   ;EV     ;   2328;   0.3;  0.2; 1976;     6
       2;     3250;UR   ;EV     ;    922;   0.0;  0.1; 1979;     5
       2;     3448;SR   ;CO     ;    198;  -1.5; -1.6; 1980;     2
       2;     6716;SR   ;CO     ;   3268;   0.8;  0.8; 1989;     8
       3;     2291;SC   ;CO     ;   2291;  -0.8; -0.8; 1976;     4
       3;     5852;SR   ;EV     ;   3561;   0.4;  0.3; 1986;     8
       3;     6750;UR   ;EV     ;    898;   0.8;  0.9; 1989;     2
       3;     9612;SC   ;EV     ;   2862;  -0.2; -0.2; 1996;    12
       4;     1135;SC   ;CO     ;   1135;   0.3;  0.2; 1973;     2
       4;     1340;UR   ;CO     ;    205;   0.1;  0.1; 1973;     9
       4;     2365;SR   ;EV     ;   1025;   1.6;  1.7; 1976;     7
       4;     6934;UR   ;CO     ;   4569;   0.5;  0.5; 1989;     7
       4;    13844;SC   ;EV     ;   6910;   0.1;  0.1; 2008;    10
       5;      836;SC   ;CO     ;    836;  -0.5; -0.5; 1972;     4
       5;     7315;SC   ;EV     ;   6479;   0.3;  0.3; 1990;     3
       5;     9059;SR   ;EV     ;   1744;   0.4;  0.3; 1994;    12
       5;     9511;SC   ;EV     ;    452;  -0.3; -0.2; 1996;     4
       5;    11652;SR   ;EV     ;   2141;   0.0;  0.0; 2002;     3
       5;    15125;UR   ;CO     ;   3473;      ;     ; 2011;    12
       6;      578;SR   ;EV     ;    578;  -0.1; -0.1; 1971;     8
       6;     1328;SR   ;CO     ;    750;  -1.5; -1.5; 1973;    10
       6;     3085;SC   ;EV     ;   1757;   0.2;  0.1; 1979;     9
       6;     5335;UR   ;EV     ;   2250;  -0.2; -0.2; 1987;     5
       8;     2765;SC   ;CO     ;   2765;   0.7;  0.8; 1977;    12
       8;     4418;SC   ;EV     ;   1653;  -0.1; -0.2; 1983;     2
       8;     5035;SC   ;CO     ;    617;  -0.8; -0.7; 1984;    10
       8;    10490;UR   ;EV     ;   5455;  -0.7; -0.7; 2002;     2
       8;    13811;UR   ;EV     ;   3321;      ;     ; 2011;    12
       9;     3852;UR   ;CO     ;   3852;   0.1;  0.0; 1980;    12
       9;     5776;SR   ;EV     ;   1924;   1.4;  1.4; 1986;    12
      10;     3900;SC   ;EV     ;   3900;   0.1;  0.1; 1981;     3
      11;     2120;SR   ;EV     ;   2120;  -0.5; -0.5; 1976;     9
      11;     4327;SR   ;EV     ;   2207;   0.3;  0.3; 1983;    10
      11;     7835;UR   ;EV     ;   3508;  -1.0; -0.9; 1994;     5
      11;     8978;SC   ;CO     ;   1143;  -0.2; -0.3; 1998;     1
      11;    10998;SC   ;EV     ;   2020;   0.3;  0.3; 2004;     3
      12;     4204;SR   ;EV     ;   4204;   0.8;  0.7; 1981;     9
      12;     4296;SR   ;CO     ;     92;   1.6;  1.6; 1981;    12
      12;     8622;SR   ;CO     ;   4326;  -0.2; -0.2; 1994;     7
      13;     3731;SC   ;EV     ;   3731;   0.4;  0.3; 1980;     3
      14;     3845;UR   ;EV     ;   3845;  -0.2; -0.2; 1981;     7
      14;     7623;SC   ;CO     ;   3778;  -0.5; -0.4; 1993;    12
      14;    10019;SR   ;EV     ;   2396;  -0.6; -0.6; 2001;    10
      14;    11480;SC   ;EV     ;   1461;   0.4;  0.4; 2007;     6
      15;     2808;SR   ;EV     ;   2808;   0.2;  0.2; 1977;    11
      16;       64;SR   ;EV     ;     64;  -0.5; -0.5; 1970;     3
      16;    13645;SR   ;EV     ;  13581;   0.5;  0.5; 2009;     1
      17;     3619;UR   ;CO     ;   3619;   0.3;  0.3; 1979;    12
      17;     9853;SR   ;EV     ;   6234;  -0.4; -0.3; 1998;     8
      17;    13853;SC   ;EV     ;   4000;   0.2;  0.2; 2009;    10
      19;     2052;SR   ;CO     ;   2052;   0.7;  0.7; 1975;     8
      19;     2124;SR   ;EV     ;     72;   0.2;  0.3; 1975;    11
      19;     2470;UR   ;EV     ;    346;  -0.1; -0.1; 1976;    10
      19;     8352;SR   ;EV     ;   5882;  -0.2; -0.2; 1993;     2
      20;      342;SR   ;EV     ;    342;   0.1;  0.1; 1970;    12
      20;     5946;SC   ;CO     ;   5604;  -1.0; -1.0; 1987;     5
      20;     9269;UR   ;EV     ;   3323;  -0.1; -0.1; 1996;    11
      20;    13750;UR   ;EV     ;   4481;      ;     ; 2011;    12
      21;     5255;UR   ;CO     ;   5255;   0.1;  0.1; 1984;     7
      21;    10705;SC   ;EV     ;   5450;   0.3;  0.4; 2000;     8
      21;    12076;SC   ;EV     ;   1371;   0.3;  0.2; 2005;     2
      21;    12852;SC   ;EV     ;    776;  -0.4; -0.3; 2007;     7
      21;    13197;SC   ;EV     ;    345;   0.1;  0.1; 2008;     7
      22;      611;SC   ;EV     ;    611;  -0.4; -0.3; 1971;     9
      22;     3753;UR   ;EV     ;   3142;  -0.5; -0.5; 1980;     6
      22;     9357;UR   ;EV     ;   5604;   0.1;  0.1; 1996;     1
